type,business_name,email,username,phone,city,password,website,facebook,instagram,twitter,linkedin,whatsapp,logo,place_id
dealer,"Jan Japan Zambia LTD",biz.janjapanzambialtd.zMruNo@motorlink.test,jan_japan_zambia_ltd,"097 5494438",Lilongwe,nwVUbNR@@wmH,https://janjapan.com/,https://www.facebook.com/janjapanglobal,,https://twitter.com/janjapanglobal,https://www.linkedin.com/company/jan-japan,,yes,ChIJeyPuQEbzQBkRHao4FzMruNo
dealer,"STC Japanese Used Vehicles & Brand New Cars",biz.stcjapaneseusedvehic.cBidHQ@motorlink.test,stc_japanese_used_vehicles_b,070-3861-4493,Lilongwe,aVVkUfeDSTUK,https://stcjapan.net/,https://www.facebook.com/sobantradingcompany,https://www.instagram.com/stcjapan5,https://twitter.com/stcjapan,https://www.linkedin.com/in/stc-japan-2a5638146,https://wa.me/818080870980,yes,ChIJX6URxLDpGGARS-OwpcBidHQ
dealer,"Moiz Motors Limited - We deal in New and Used Japanese Vehicles",biz.moizmotorslimitedwed.dD4Fz8@motorlink.test,moiz_motors_limited_we_deal_,"0706 232325",Lilongwe,Dtb4mkXSu8K9,,,,,,,yes,ChIJO6Z9V7YSQBgRzwIrXdD4Fz8
dealer,"MOZ MOTOR JAPAN",biz.mozmotorjapan.pLhfsE@motorlink.test,moz_motor_japan,"21 422 729",Lilongwe,8H7bbNsdE4fc,http://mozmotorjapan.com/,https://www.facebook.com/MOZ,,,,https://wa.me/258852532000,yes,ChIJH4s3-jqb5h4RECbMupLhfsE
dealer,"M.Azam japan cars showroom",biz.mazamjapancarsshowro.A3QSEc@motorlink.test,m_azam_japan_cars_showroom,"0711 565 656",Lilongwe,5!AbD8ddSDwR,,,,,,,no,ChIJGe8vdeLbXBgRQ3yFYA3QSEc
dealer,"TN uk auto electro deals",biz.tnukautoelectrodeals.y27j9g@motorlink.test,tn_uk_auto_electro_deals,"0990 87 58 70",Salima,95Vr46rqrSjg,,,,,,,yes,ChIJ5VcpeeYBIBkRh6H1ry27j9g
dealer,"Afumu Auto-Electrical and Mechanics",biz.afumuautoelectricala.Jf5Fh8@motorlink.test,afumu_auto_electrical_and_me,"0999 37 71 70",Salima,NJ3c3XeRW38K,,,,,,,yes,ChIJAXbV5e4BIBkRA8udDJf5Fh8
dealer,"Land rover Major Auto",biz.landrovermajorauto.w5O9Zg@motorlink.test,land_rover_major_auto,"0882 25 38 88",Salima,tC6sKg9KKjGE,,,,,,,yes,ChIJFQJrBY0BIBkRzE7IRw5O9Zg
dealer,"Paul baulen chimwendo",biz.paulbaulenchimwendo.9w3n0w@motorlink.test,paul_baulen_chimwendo,,Lilongwe,NPWfGHxNS@37,,,,,,,no,ChIJB-8jQAABIBkRch1S19w3n0w
dealer,"Zima Autos",biz.zimaautos.gXt_l4@motorlink.test,zima_autos,"0806 359 5270",Lilongwe,JtVAKtTy!QDY,https://www.zimaautos.com/,https://www.facebook.com/thezimaautos,https://www.instagram.com/zimaautos,,,,yes,ChIJC8RN2tV1ThARbivtYgXt_l4
dealer,"Lotus auto parts",biz.lotusautoparts.jy0P6c@motorlink.test,lotus_auto_parts,"0993 80 18 87",Salima,HgDgTANzb5my,,,,,,,yes,ChIJnQafUq0BIBkRvJJhljy0P6c
dealer,"CFAO Mobility Malawi Ltd - TBU",biz.cfaomobilitymalawilt.-jeIBc@motorlink.test,cfao_mobility_malawi_ltd_tbu,,Blantyre,btKtfC2sJnxy,,,,,,,no,ChIJR0qSRgBP2BgR7meG9-jeIBc
dealer,Kaolemayani,biz.kaolemayani.U4j7FI@motorlink.test,kaolemayani,,Salima,ZGRmFRbSA24p,,,,,,,no,ChIJb0_FBAABIBkRmVS0_U4j7FI
dealer,"Salim Auto Co.Ltd",biz.salimautocoltd.7nkkUE@motorlink.test,salim_auto_co_ltd_2,"418 2063",Lilongwe,h5TbX!vHt@vs,http://salimauto.co/,https://www.facebook.com/salimauto.co,,,,https://wa.me/23052564870,yes,ChIJLbo7tqNafCERJTnOp7nkkUE
dealer,"Salima Customs & Excise",biz.salimacustomsexcise.5DUy7U@motorlink.test,salima_customs_excise,"01 262 231",Salima,4U6ctfhxXxuY,http://www.mra.mw/,,,,,,no,ChIJD1SWwucBIBkRFjhd05DUy7U
dealer,"Assemblies of God - Salima",biz.assembliesofgodsalim.tk0WVI@motorlink.test,assemblies_of_god_salima,,Salima,EU@cxnxT3Nz7,,,,,,,yes,ChIJP4uoRI4BIBkRlTRz9tk0WVI
